Year,Homicide,Assault,Sexual offences,Harm or endanger persons,"Robbery, blackmail, and extortion",Burglary ,Theft,Fraud and related offences,Drug offences,Weapons and explosives offences,Property damage,"Public order, health, and safety offences",Traffic and vehicle offences,Offences against justice procedures and orders,Offences against government,Environmental offences,Miscellaneous offences,Total,Population,Crime_Index,Crime_Index_Lagged
1980,353,7208,1401,2176,426,11893,29103,19794,7839,2569,4290,28539,173948,27664,1376,3521,9651,331751,3112900,10.657297054193839,
1981,366,7933,1092,2299,494,12974,29654,25007,8340,2481,4938,22637,142990,17981,2027,3360,9836,294409,3124900,9.421389484463504,10.657297054193839
1982,329,7760,1298,2231,504,14387,32682,26131,9518,2295,4914,18268,104739,13957,1203,4025,7878,252119,3156100,7.9883083552485665,9.421389484463504
1983,407,8741,1449,2693,657,13851,32304,28481,10346,2596,5323,16067,105649,15332,736,2252,7774,254658,3199300,7.959803707060919,7.9883083552485665
1984,406,9349,1682,2651,729,13905,33492,28069,12819,2847,5727,17456,116414,16389,1300,2235,8552,274022,3227100,8.491276997923833,7.959803707060919
1985,447,9671,1816,2901,997,13685,36226,28449,13519,3553,5870,18512,109164,16894,895,2497,7561,272657,3247100,8.39693880693542,8.491276997923833
1986,464,10244,1917,3143,970,12914,36251,26475,15461,3854,6543,18856,130905,18638,1059,2839,7553,298086,3246300,9.182330653359209,8.39693880693542
1987,485,11476,2180,3204,864,12892,36111,27397,15045,3998,5878,15250,126879,20656,475,2789,6921,292500,3274400,8.93293427803567,9.182330653359209
1988,529,12469,2440,3346,933,12233,34175,29323,15344,4173,6545,15706,136190,25120,406,2523,7362,308817,3283400,9.405402935980996,8.93293427803567
1989,603,11567,2442,3265,812,11081,30824,26463,13399,3312,5481,11661,112891,26350,246,2627,7561,270585,3299200,8.20153370514064,9.405402935980996
1990,552,11739,2986,3773,966,11140,31494,25117,14508,3594,5713,10384,80170,27777,184,2776,8153,241026,3329800,7.23845275992552,8.20153370514064
1991,489,12581,3671,3797,1110,12229,33859,31062,14814,3496,6019,11179,79441,29186,738,3015,9192,255878,3495100,7.32104946925696,7.23845275992552
1992,439,14432,4813,4394,1326,11936,33625,38497,16290,3508,5962,11134,67593,29444,209,3862,11027,258491,3531700,7.319166407112722,7.32104946925696
1993,359,17817,5424,4688,1431,11921,32392,36355,18429,3982,6673,12851,63973,29023,166,5127,10760,261371,3572200,7.316807569564975,7.319166407112722
1994,379,22497,5372,5675,1668,11851,33222,39553,17987,3974,8823,14306,62108,31219,168,2269,10835,271906,3620000,7.511215469613259,7.316807569564975
1995,417,22589,5334,5942,1792,11639,32879,39456,16627,3756,8446,15919,66707,31757,219,2295,11028,276802,3673400,7.535307889149018,7.511215469613259
1996,412,20994,5280,5843,1699,13322,33609,35201,17796,4036,8465,16319,64427,32786,334,1715,6823,269061,3732000,7.209565916398714,7.535307889149018
1997,438,21480,5175,5380,2048,11813,33390,33081,20063,4405,8671,17487,63213,33908,274,1979,3860,266665,3781300,7.052204268373311,7.209565916398714
1998,337,21003,4686,5665,1872,11700,34038,32522,20970,4571,8915,19249,64984,35583,317,2035,3989,272436,3815000,7.141179554390563,7.052204268373311
1999,267,20202,4271,5726,1641,11730,33320,31271,20454,4293,9110,19105,55917,40094,294,1817,2547,262059,3835100,6.83317253787385,7.141179554390563
2000,185,21708,4514,5885,1758,11894,34000,32504,20132,4239,9599,19660,53578,41897,360,2325,2184,266422,3857700,6.9062394691137206,6.83317253787385
2001,217,20809,4492,5759,1412,11055,32184,30519,18120,4267,9156,19348,52185,40607,476,2524,2609,255739,3880500,6.590362066743976,6.9062394691137206
2002,224,21720,4582,6391,1686,10463,33413,32357,19333,4970,9025,21305,51900,40582,359,2467,4545,265322,3948500,6.719564391541091,6.590362066743976
2003,235,23051,5050,7040,1921,11524,35171,30856,19561,5066,9930,26405,56560,44004,656,2651,2834,282515,4027200,7.01517183154549,6.719564391541091
2004,235,24560,4882,7277,1886,12288,35587,30996,18680,5356,10401,25165,58142,46630,526,2329,2814,287754,4087500,7.0398532110091745,7.01517183154549
2005,211,25602,5032,7650,2166,12866,36453,30429,18078,6447,11803,26527,60892,47437,596,1889,3107,297185,4133900,7.188974092261545,7.0398532110091745
2006,215,26625,5005,7835,2345,12305,36106,31985,18861,6764,12079,29408,66361,52249,597,1771,4216,314727,4184600,7.521077283372366,7.188974092261545
2007,233,31338,4923,8490,2360,12047,36520,29786,19627,6724,13649,31920,71251,58989,487,2242,2418,333004,4223800,7.8839907192575405,7.521077283372366
2008,247,33233,4952,9041,2418,12994,36583,33088,22295,6914,13372,33687,72326,63015,493,2154,1826,348638,4259800,8.184374853279497,7.8839907192575405
2009,243,33928,5661,9217,2296,12444,36227,27615,24941,6661,13594,33282,69451,66248,703,2517,1679,346707,4302600,8.0580811602287,8.184374853279497
2010,221,31124,5402,8423,1797,10782,31206,26843,21931,5614,11633,23069,61230,64581,847,2286,1551,308540,4350700,7.091732364906797,8.0580811602287
2011,154,28976,5416,7512,1902,10705,29668,26379,19633,5130,11102,15629,57370,61717,532,1692,1382,284899,4384000,6.498608576642336,7.091732364906797
2012,163,27725,6199,7198,1725,10036,28241,26080,20184,5195,10238,14220,52645,57760,582,2649,1410,272250,4408100,6.17613030557383,6.498608576642336
2013,240,22753,5578,6180,1456,8234,25433,21062,15286,4343,8504,10790,46258,49758,533,1964,1038,229410,4442100,5.164449246977781,6.17613030557383
2014,207,22340,5942,6600,1344,7363,23543,19763,14521,4394,7692,9719,41929,49634,430,1885,864,218170,4516500,4.830510350935459,5.164449246977781
2015,236,24225,6284,7127,1350,7398,24968,17184,14957,4646,7946,7775,40610,52333,617,1667,862,220185,4609400,4.776869006812166,4.830510350935459
2016,202,24890,5270,7651,1717,7455,25873,17682,15369,5335,7835,7830,42561,53540,626,1364,731,225931,4714100,4.792664559512951,4.776869006812166
2017,241,24514,6177,7396,1795,6647,25733,16137,16202,5483,7455,7091,42320,51641,499,1760,666,221757,4813600,4.606884660129633,4.792664559512951
2018,235,23673,5519,7521,1743,5924,24824,13759,14694,5449,7228,6574,41148,51313,670,1759,839,212872,4900600,4.34379463739134,4.606884660129633
2019,211,23545,5216,7521,1401,6054,25469,11752,14984,5871,7091,6098,36957,49373,745,1496,782,204566,4979200,4.108410989717224,4.34379463739134
2020,339,25701,6238,8263,1328,5894,25310,12465,14736,6590,7352,6414,40876,47544,877,1353,784,212064,5090200,4.166123138580017,4.108410989717224
2021,245,20540,6010,7330,1156,5008,20427,9290,12081,5566,5646,5742,33083,34146,313,1074,531,168188,5111300,3.290513176686949,4.166123138580017
2022,227,22599,7175,8140,1235,5664,26312,8765,12841,6450,6578,6619,39634,38123,342,952,657,192313,5117200,3.7581685296646605,3.290513176686949
2023,283,24378,7767,9018,1617,7293,34148,8729,13156,7267,6860,7673,41639,44380,312,1353,660,216533,5223100,4.145679768719726,3.7581685296646605
2024,297,25427,8428,10024,1583,6835,36179,9317,15791,7592,6666,8863,41281,45497,393,1553,591,226317,5269939,4.294489936221273,4.145679768719726
