Offence type (ANZSOC division),1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
01: Homicide,353,366,329,407,406,447,464,485,529,603,552,489,439,359,379,417,412,438,337,267,185,217,224,235,235,211,215,233,247,243,221,154,163,240,207,236,202,241,235,211,339,245,227,283,297
02: Assault,7208,7933,7760,8741,9349,9671,10244,11476,12469,11567,11739,12581,14432,17817,22497,22589,20994,21480,21003,20202,21708,20809,21720,23051,24560,25602,26625,31338,33233,33928,31124,28976,27725,22753,22340,24225,24890,24514,23673,23545,25701,20540,22599,24378,25427
03: Sexual offences,1401,1092,1298,1449,1682,1816,1917,2180,2440,2442,2986,3671,4813,5424,5372,5334,5280,5175,4686,4271,4514,4492,4582,5050,4882,5032,5005,4923,4952,5661,5402,5416,6199,5578,5942,6284,5270,6177,5519,5216,6238,6010,7175,7767,8428
04: Harm or endanger persons,2176,2299,2231,2693,2651,2901,3143,3204,3346,3265,3773,3797,4394,4688,5675,5942,5843,5380,5665,5726,5885,5759,6391,7040,7277,7650,7835,8490,9041,9217,8423,7512,7198,6180,6600,7127,7651,7396,7521,7521,8263,7330,8140,9018,10024
"05: Robbery, blackmail, and extortion",426,494,504,657,729,997,970,864,933,812,966,1110,1326,1431,1668,1792,1699,2048,1872,1641,1758,1412,1686,1921,1886,2166,2345,2360,2418,2296,1797,1902,1725,1456,1344,1350,1717,1795,1743,1401,1328,1156,1235,1617,1583
06: Burglary ,11893,12974,14387,13851,13905,13685,12914,12892,12233,11081,11140,12229,11936,11921,11851,11639,13322,11813,11700,11730,11894,11055,10463,11524,12288,12866,12305,12047,12994,12444,10782,10705,10036,8234,7363,7398,7455,6647,5924,6054,5894,5008,5664,7293,6835
07: Theft,29103,29654,32682,32304,33492,36226,36251,36111,34175,30824,31494,33859,33625,32392,33222,32879,33609,33390,34038,33320,34000,32184,33413,35171,35587,36453,36106,36520,36583,36227,31206,29668,28241,25433,23543,24968,25873,25733,24824,25469,25310,20427,26312,34148,36179
08: Fraud and related offences,19794,25007,26131,28481,28069,28449,26475,27397,29323,26463,25117,31062,38497,36355,39553,39456,35201,33081,32522,31271,32504,30519,32357,30856,30996,30429,31985,29786,33088,27615,26843,26379,26080,21062,19763,17184,17682,16137,13759,11752,12465,9290,8765,8729,9317
09: Drug offences,7839,8340,9518,10346,12819,13519,15461,15045,15344,13399,14508,14814,16290,18429,17987,16627,17796,20063,20970,20454,20132,18120,19333,19561,18680,18078,18861,19627,22295,24941,21931,19633,20184,15286,14521,14957,15369,16202,14694,14984,14736,12081,12841,13156,15791
10: Weapons and explosives offences,2569,2481,2295,2596,2847,3553,3854,3998,4173,3312,3594,3496,3508,3982,3974,3756,4036,4405,4571,4293,4239,4267,4970,5066,5356,6447,6764,6724,6914,6661,5614,5130,5195,4343,4394,4646,5335,5483,5449,5871,6590,5566,6450,7267,7592
11: Property damage,4290,4938,4914,5323,5727,5870,6543,5878,6545,5481,5713,6019,5962,6673,8823,8446,8465,8671,8915,9110,9599,9156,9025,9930,10401,11803,12079,13649,13372,13594,11633,11102,10238,8504,7692,7946,7835,7455,7228,7091,7352,5646,6578,6860,6666
"12: Public order, health, and safety offences",28539,22637,18268,16067,17456,18512,18856,15250,15706,11661,10384,11179,11134,12851,14306,15919,16319,17487,19249,19105,19660,19348,21305,26405,25165,26527,29408,31920,33687,33282,23069,15629,14220,10790,9719,7775,7830,7091,6574,6098,6414,5742,6619,7673,8863
13: Traffic and vehicle offences,173948,142990,104739,105649,116414,109164,130905,126879,136190,112891,80170,79441,67593,63973,62108,66707,64427,63213,64984,55917,53578,52185,51900,56560,58142,60892,66361,71251,72326,69451,61230,57370,52645,46258,41929,40610,42561,42320,41148,36957,40876,33083,39634,41639,41281
14: Offences against justice procedures and orders,27664,17981,13957,15332,16389,16894,18638,20656,25120,26350,27777,29186,29444,29023,31219,31757,32786,33908,35583,40094,41897,40607,40582,44004,46630,47437,52249,58989,63015,66248,64581,61717,57760,49758,49634,52333,53540,51641,51313,49373,47544,34146,38123,44380,45497
15: Offences against government,1376,2027,1203,736,1300,895,1059,475,406,246,184,738,209,166,168,219,334,274,317,294,360,476,359,656,526,596,597,487,493,703,847,532,582,533,430,617,626,499,670,745,877,313,342,312,393
16: Environmental offences,3521,3360,4025,2252,2235,2497,2839,2789,2523,2627,2776,3015,3862,5127,2269,2295,1715,1979,2035,1817,2325,2524,2467,2651,2329,1889,1771,2242,2154,2517,2286,1692,2649,1964,1885,1667,1364,1760,1759,1496,1353,1074,952,1353,1553
17: Miscellaneous offences,9651,9836,7878,7774,8552,7561,7553,6921,7362,7561,8153,9192,11027,10760,10835,11028,6823,3860,3989,2547,2184,2609,4545,2834,2814,3107,4216,2418,1826,1679,1551,1382,1410,1038,864,862,731,666,839,782,784,531,657,660,591
Total,331751,294409,252119,254658,274022,272657,298086,292500,308817,270585,241026,255878,258491,261371,271906,276802,269061,266665,272436,262059,266422,255739,265322,282515,287754,297185,314727,333004,348638,346707,308540,284899,272250,229410,218170,220185,225931,221757,212872,204566,212064,168188,192313,216533,226317
