Year,Population
2025,5310695
2024,5269939
2023,5223100
2022,5117200
2021,5111300
2020,5090200
2019,4979200
2018,4900600
2017,4813600
2016,4714100
2015,4609400
2014,4516500
2013,4442100
2012,4408100
2011,4384000
2010,4350700
2009,4302600
2008,4259800
2007,4223800
2006,4184600
2005,4133900
2004,4087500
2003,4027200
2002,3948500
2001,3880500
2000,3857700
1999,3835100
1998,3815000
1997,3781300
1996,3732000
1995,3673400
1994,3620000
1993,3572200
1992,3531700
1991,3495100
1990,3329800
1989,3299200
1988,3283400
1987,3274400
1986,3246300
1985,3247100
1984,3227100
1983,3199300
1982,3156100
1981,3124900
1980,3112900
1979,3109000
1978,3121200
1977,3120200
1976,3110500
1975,3083100
1974,3023700
1973,2961300
1972,2903900
1971,2853000
1970,2810700
1969,2772800
1968,2748100
1967,2724100
1966,2675900
1965,2628400
1964,2585400
1963,2531800
1962,2482000
1961,2419700
1960,2371800
1959,2335010
1958,2286559
1957,2235321
1956,2186348
1955,2140976
1954,2096332
1953,2048965
1952,1998948
1951,1952124
1950,1911608
